invoice_no,unit_price,order_value,quantity,country,invoice_date,invoice_time,year_month,major_category,minor_category,description
567183,2.89,5.78,2,United Kingdom,2011-09-18,15:32:00,2011-09,Kitchen,Plates,STORAGE TIN VINTAGE DOILY 
578998,1.25,1.25,1,United Kingdom,2011-11-27,16:05:00,2011-11,Clothes,Tops,BLUE HARMONICA IN BOX 
556812,10.79,10.79,1,United Kingdom,2011-06-14,17:25:00,2011-06,Household,Lamps,TEA TIME PARTY BUNTING
565233,2.46,2.46,1,United Kingdom,2011-09-02,09:34:00,2011-09,Garden,Turf,HEART FILIGREE DOVE  SMALL
580983,3.29,3.29,1,United Kingdom,2011-12-06,16:26:00,2011-12,Garden,Seeds,HEART OF WICKER SMALL
558810,4.13,20.65,5,United Kingdom,2011-07-04,11:11:00,2011-07,Garden,Seeds,JUMBO BAG PINK VINTAGE PAISLEY
556441,1.65,6.6,4,United Kingdom,2011-06-10,15:07:00,2011-06,Clothes,Shoes,GARDENERS KNEELING PAD CUP OF TEA 
544065,0.75,9,12,United Kingdom,2011-02-15,13:52:00,2011-02,Clothes,Shoes,ASSORTED COLOURS SILK FAN
580908,1.95,1.95,1,United Kingdom,2011-12-06,13:20:00,2011-12,Garden,Turf,3 STRIPEY MICE FELTCRAFT
545085,7.95,7.95,1,United Kingdom,2011-02-28,11:19:00,2011-02,Garden,Seeds,DOORMAT FANCY FONT HOME SWEET HOME
580877,1.25,1.25,1,United Kingdom,2011-12-06,12:15:00,2011-12,Garden,Rakes,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN
581439,2.46,7.38,3,United Kingdom,2011-12-08,16:30:00,2011-12,Garden,Turf,HEART FILIGREE DOVE  SMALL
572321,0.62,7.44,12,United Kingdom,2011-10-24,08:59:00,2011-10,Household,Rugs,PACK OF 6 LARGE FRUIT STRAWS 
573543,4.95,4.95,1,United Kingdom,2011-10-31,13:05:00,2011-10,Clothes,Tops,RETROSPOT HEART HOT WATER BOTTLE
578270,2.46,22.14,9,United Kingdom,2011-11-23,13:39:00,2011-11,Household,Curtains,TRADITIONAL MODELLING CLAY
563692,4.95,9.9,2,United Kingdom,2011-08-18,13:01:00,2011-08,Clothes,Tops,CHOCOLATE HOT WATER BOTTLE
562727,3.75,15,4,United Kingdom,2011-08-09,09:26:00,2011-08,Garden,Hoses,SET OF 6 SOLDIER SKITTLES
570288,2.1,6.3,3,United Kingdom,2011-10-10,11:47:00,2011-10,Household,Rugs,HAND WARMER BIRD DESIGN
541421,7.46,7.46,1,United Kingdom,2011-01-17,17:44:00,2011-01,Garden,Turf,GREEN FERN SKETCHBOOK 
554788,7.95,15.9,2,United Kingdom,2011-05-26,12:00:00,2011-05,Clothes,Tops,SWEETHEART WIRE MAGAZINE RACK
579089,0.29,0.29,1,United Kingdom,2011-11-28,10:46:00,2011-11,Kitchen,Plates,SET/4 BIRD MIRROR MAGNETS 
543645,1.65,4.95,3,United Kingdom,2011-02-10,17:54:00,2011-02,Garden,Rakes,LUNCH BAG DOLLY GIRL DESIGN
565441,0.65,3.9,6,United Kingdom,2011-09-04,14:08:00,2011-09,Garden,Turf,BLACK CANDELABRA T-LIGHT HOLDER
556107,0.42,10.5,25,United Kingdom,2011-06-08,17:09:00,2011-06,Garden,Rakes,BLUE SCANDINAVIAN PAISLEY WRAP
561231,1.95,5.85,3,United Kingdom,2011-07-26,10:20:00,2011-07,Clothes,Shoes,DOLLY GIRL LUNCH BOX
549714,1.25,1.25,1,United Kingdom,2011-04-11,14:13:00,2011-04,Clothes,Shoes,GROW A FLYTRAP OR SUNFLOWER IN TIN
559784,2.08,20.8,10,United Kingdom,2011-07-12,12:07:00,2011-07,Kitchen,Bowls,JUMBO BAG 50'S CHRISTMAS 
537154,3.25,26,8,United Kingdom,2010-12-05,13:05:00,2010-12,Kitchen,Plates,CREAM CUPID HEARTS COAT HANGER
568134,0.83,0.83,1,United Kingdom,2011-09-23,17:02:00,2011-09,Garden,Turf,GOLD MINI TAPE MEASURE 
575607,1.63,1.63,1,United Kingdom,2011-11-10,12:37:00,2011-11,Garden,Hoses,PORCELAIN ROSE SMALL
554839,4.95,29.7,6,United Kingdom,2011-05-26,17:15:00,2011-05,Clothes,Hats,SPOTTY BUNTING
543256,1.25,7.5,6,United Kingdom,2011-02-04,15:54:00,2011-02,Garden,Rakes,ROMANTIC PINKS RIBBONS 
575587,0.79,9.48,12,United Kingdom,2011-11-10,12:01:00,2011-11,Kitchen,Cooking Knives,ASS FLORAL PRINT SPIRIT LEVEL 
565350,1.25,3.75,3,United Kingdom,2011-09-02,14:42:00,2011-09,Kitchen,Bowls,TRADITIONAL WOODEN CATCH CUP GAME 
570187,3.29,3.29,1,United Kingdom,2011-10-07,15:09:00,2011-10,Clothes,Shoes,JAM MAKING SET PRINTED
576618,10.79,10.79,1,United Kingdom,2011-11-15,17:00:00,2011-11,Clothes,Tops, TRELLIS COAT RACK
539215,3.75,3.75,1,United Kingdom,2010-12-16,12:42:00,2010-12,Kitchen,Coasters,ALARM CLOCK BAKELIKE RED 
575491,1.25,3.75,3,United Kingdom,2011-11-09,17:47:00,2011-11,Household,Curtains,UNION JACK FLAG LUGGAGE TAG
575410,1.25,15,12,United Kingdom,2011-11-09,15:50:00,2011-11,Clothes,Tops,POCKET BAG BLUE PAISLEY RED SPOT
546220,0.55,39.6,72,United Kingdom,2011-03-10,12:16:00,2011-03,Clothes,Shoes,PACK OF 72 RETROSPOT CAKE CASES
569225,1.45,2.9,2,United Kingdom,2011-10-02,14:25:00,2011-10,Garden,Turf,PANTRY MAGNETIC  SHOPPING LIST
541221,2.46,4.92,2,United Kingdom,2011-01-14,14:28:00,2011-01,Kitchen,Plates,SKULLS WRITING SET 
573415,4.95,9.9,2,United Kingdom,2011-10-30,16:17:00,2011-10,Household,Rugs,GINGHAM RECIPE BOOK BOX
574856,4.13,4.13,1,United Kingdom,2011-11-07,12:06:00,2011-11,Clothes,Shoes,SET OF 5 LUCKY CAT MAGNETS 
581112,2.08,24.96,12,United Kingdom,2011-12-07,12:17:00,2011-12,Clothes,Hats,BICYCLE PUNCTURE REPAIR KIT 
565396,2.46,2.46,1,United Kingdom,2011-09-02,16:39:00,2011-09,Clothes,Tops,ROLL WRAP VINTAGE SPOT 
545580,0.55,13.2,24,United Kingdom,2011-03-04,08:43:00,2011-03,Garden,Seeds,72 SWEETHEART FAIRY CAKE CASES
562085,1.45,34.8,24,United Kingdom,2011-08-02,12:27:00,2011-08,Kitchen,Plates,JAM MAKING SET PRINTED
559505,2.95,35.4,12,United Kingdom,2011-07-08,15:16:00,2011-07,Clothes,Shoes,NATURAL SLATE HEART CHALKBOARD 
539453,25.49,25.49,1,United Kingdom,2010-12-17,17:08:00,2010-12,Kitchen,Plates,12 EGG HOUSE PAINTED WOOD
579142,0.85,2.55,3,United Kingdom,2011-11-28,13:06:00,2011-11,Clothes,Tops,CHRISTMAS RETROSPOT TREE WOOD
548309,1.65,1.65,1,United Kingdom,2011-03-30,12:02:00,2011-03,Garden,Seeds,PLASTERS IN TIN CIRCUS PARADE 
540703,0.42,10.5,25,United Kingdom,2011-01-11,09:58:00,2011-01,Household,Curtains,WRAP SUKI AND FRIENDS
546913,2.95,2.95,1,United Kingdom,2011-03-17,20:18:00,2011-03,Clothes,Tops,RECIPE BOX RETROSPOT 
550834,4.25,4.25,1,United Kingdom,2011-04-21,10:51:00,2011-04,Garden,Turf,BOX OF 6 ASSORTED COLOUR TEASPOONS
581167,2.08,20.8,10,United Kingdom,2011-12-07,14:52:00,2011-12,Household,Chairs,JUMBO  BAG BAROQUE BLACK WHITE
547655,1.25,15,12,United Kingdom,2011-03-24,12:52:00,2011-03,Household,Curtains,HOME SWEET HOME MUG
567333,0.39,9.36,24,United Kingdom,2011-09-19,14:55:00,2011-09,Household,Rugs,MOODY GIRL DOOR HANGER 
550211,4.13,4.13,1,United Kingdom,2011-04-15,10:41:00,2011-04,Household,Curtains,JUMBO SHOPPER VINTAGE RED PAISLEY
564223,4.95,14.85,3,United Kingdom,2011-08-24,09:46:00,2011-08,Kitchen,Cutlery,EMPIRE UNION JACK TV DINNER TRAY
563333,2.95,11.8,4,United Kingdom,2011-08-15,13:09:00,2011-08,Household,Lamps,PHOTO FRAME CORNICE
577058,0.83,0.83,1,United Kingdom,2011-11-17,14:29:00,2011-11,Household,Chairs,TOILET SIGN OCCUPIED OR VACANT
541282,1.25,7.5,6,United Kingdom,2011-01-17,12:31:00,2011-01,Clothes,Tops,RETRO COFFEE MUGS ASSORTED
580771,0.79,3.16,4,United Kingdom,2011-12-06,10:58:00,2011-12,Household,Lamps,SET OF 4 NAPKIN CHARMS CROWNS 
554538,19.95,39.9,2,United Kingdom,2011-05-24,17:46:00,2011-05,Clothes,Hats,SWEETHEART CREAM STEEL TABLE RECT
562851,1.65,19.8,12,United Kingdom,2011-08-10,10:09:00,2011-08,Kitchen,Scales,HEART FILIGREE DOVE LARGE
559338,0.83,1.66,2,United Kingdom,2011-07-07,16:30:00,2011-07,Household,Lamps,SCOTTIE DOGS BABY BIB
578072,2.49,4.98,2,United Kingdom,2011-11-22,16:02:00,2011-11,Household,Curtains,BOX OF 6 MINI VINTAGE CRACKERS
556734,5.95,17.85,3,United Kingdom,2011-06-14,12:00:00,2011-06,Garden,Seeds,BLACK/BLUE POLKADOT UMBRELLA
557476,4.95,39.6,8,United Kingdom,2011-06-20,13:41:00,2011-06,Kitchen,Plates,PARTY BUNTING
539739,1.66,6.64,4,United Kingdom,2010-12-21,15:19:00,2010-12,Household,Lamps,SMALL HEART MEASURING SPOONS
581023,7.46,29.84,4,United Kingdom,2011-12-07,10:35:00,2011-12,Clothes,Shoes,SET 6 SCHOOL MILK BOTTLES IN CRATE
579508,3.29,3.29,1,United Kingdom,2011-11-29,16:33:00,2011-11,Garden,Seeds,CERAMIC CHERRY CAKE MONEY BANK
575176,0.42,0.84,2,United Kingdom,2011-11-08,18:29:00,2011-11,Clothes,Shoes,CARD SUKI BIRTHDAY
573876,0.55,1.1,2,United Kingdom,2011-11-01,12:48:00,2011-11,Household,Curtains,SET OF 60 I LOVE LONDON CAKE CASES 
559818,0.55,79.2,144,United Kingdom,2011-07-12,16:37:00,2011-07,Garden,Seeds,COLOUR GLASS T-LIGHT HOLDER HANGING
536409,4.95,4.95,1,United Kingdom,2010-12-01,11:45:00,2010-12,Kitchen,Scales,CHOCOLATE HOT WATER BOTTLE
569220,1.25,2.5,2,United Kingdom,2011-10-02,13:26:00,2011-10,Garden,Turf,MODERN FLORAL STATIONERY SET
547947,1.65,16.5,10,United Kingdom,2011-03-28,15:03:00,2011-03,Household,Lamps,LUNCH BAG PINK POLKADOT
557311,4.25,8.5,2,United Kingdom,2011-06-19,15:36:00,2011-06,Kitchen,Plates,SET3 BOOK BOX GREEN GINGHAM FLOWER 
551718,1.63,1.63,1,United Kingdom,2011-05-03,16:06:00,2011-05,Household,Curtains,VINTAGE SNAP CARDS
557502,2.46,2.46,1,United Kingdom,2011-06-20,15:32:00,2011-06,Household,Rugs,CIRCUS PARADE CHILDRENS EGG CUP 
578935,1.45,1.45,1,United Kingdom,2011-11-27,12:52:00,2011-11,Clothes,Shoes,SKETCHBOOK MAGNETIC SHOPPING LIST
546100,0.85,10.2,12,United Kingdom,2011-03-09,12:04:00,2011-03,Clothes,Shoes,EASTER DECORATION SITTING BUNNY
550208,12.46,12.46,1,United Kingdom,2011-04-15,10:39:00,2011-04,Garden,Seeds,VICTORIAN SEWING BOX SMALL 
575073,7.95,31.8,4,United Kingdom,2011-11-08,13:10:00,2011-11,Kitchen,Scales,15CM CHRISTMAS GLASS BALL 20 LIGHTS
577078,4.13,4.13,1,United Kingdom,2011-11-17,15:17:00,2011-11,Clothes,Tops,RED GINGHAM ROSE JEWELLERY BOX
569790,1.25,1.25,1,United Kingdom,2011-10-06,11:42:00,2011-10,Clothes,Tops,CHOCOLATE BOX RIBBONS 
579103,1.45,1.45,1,United Kingdom,2011-11-28,11:39:00,2011-11,Garden,Seeds,VINTAGE LEAF MAGNETIC NOTEPAD
559991,4.95,4.95,1,United Kingdom,2011-07-14,12:29:00,2011-07,Kitchen,Bowls,APRON APPLE DELIGHT
558370,0.85,10.2,12,United Kingdom,2011-06-28,15:44:00,2011-06,Garden,Turf,SANDALWOOD FAN
578251,0.85,5.95,7,United Kingdom,2011-11-23,12:45:00,2011-11,Kitchen,Bowls,SET OF 6 3D KIT CARDS FOR KIDS
578533,2.55,15.3,6,United Kingdom,2011-11-24,14:42:00,2011-11,Kitchen,Plates,GLITTER BUTTERFLY CLIPS
571502,1.65,16.5,10,United Kingdom,2011-10-17,15:18:00,2011-10,Garden,Seeds,RIBBON REEL FLORA + FAUNA 
571121,4.95,44.55,9,United Kingdom,2011-10-14,09:21:00,2011-10,Kitchen,Cooking Knives,CHOCOLATE HOT WATER BOTTLE
541215,4.95,29.7,6,United Kingdom,2011-01-14,13:42:00,2011-01,Clothes,Hats,CHOCOLATE HOT WATER BOTTLE
566561,3.75,15,4,United Kingdom,2011-09-13,12:13:00,2011-09,Kitchen,Scales,FELTCRAFT PRINCESS OLIVIA DOLL
573923,1.25,25,20,United Kingdom,2011-11-02,09:31:00,2011-11,Garden,Hoses, RED SPOT GIFT BAG LARGE
578263,0.79,15.8,20,United Kingdom,2011-11-23,13:27:00,2011-11,Household,Chairs,3 RAFFIA RIBBONS VINTAGE CHRISTMAS
566279,0.38,1.52,4,United Kingdom,2011-09-11,14:09:00,2011-09,Household,Lamps,FOLK ART METAL HEART T-LIGHT HOLDER
578032,1.65,19.8,12,United Kingdom,2011-11-22,13:41:00,2011-11,Household,Curtains,CANDLE HOLDER SILVER MADELINE
549241,1.65,3.3,2,United Kingdom,2011-04-07,11:40:00,2011-04,Garden,Rakes,PLASTERS IN TIN SPACEBOY
548354,2.1,75.6,36,United Kingdom,2011-03-30,15:06:00,2011-03,Clothes,Shoes,COFFEE MUG APPLES DESIGN
560824,0.55,1.65,3,United Kingdom,2011-07-21,11:23:00,2011-07,Clothes,Shoes,SET OF 60 I LOVE LONDON CAKE CASES 
577504,0.42,0.84,2,United Kingdom,2011-11-20,12:36:00,2011-11,Kitchen,Cutlery,SET 12 RETRO WHITE CHALK STICKS
568591,2.08,20.8,10,United Kingdom,2011-09-28,10:39:00,2011-09,Clothes,Hats,JUMBO STORAGE BAG SKULLS
556959,2.95,17.7,6,United Kingdom,2011-06-16,09:17:00,2011-06,Kitchen,Bowls,RED RETROSPOT MUG
567668,1.63,4.89,3,United Kingdom,2011-09-21,15:29:00,2011-09,Clothes,Shoes,CHARLOTTE BAG APPLES DESIGN
540821,2.51,2.51,1,United Kingdom,2011-01-11,13:16:00,2011-01,Garden,Turf,4 VANILLA BOTANICAL CANDLES
561195,2.08,4.16,2,United Kingdom,2011-07-25,13:57:00,2011-07,Household,Rugs,SET OF 5 PANCAKE DAY MAGNETS
538852,2.55,2.55,1,United Kingdom,2010-12-14,13:33:00,2010-12,Household,Curtains,GUMBALL COAT RACK
563580,9.95,9.95,1,United Kingdom,2011-08-17,15:53:00,2011-08,Kitchen,Cutlery,CAKES AND BOWS GIFT  TAPE
568701,1.65,19.8,12,United Kingdom,2011-09-28,15:07:00,2011-09,Clothes,Tops,HAND WARMER OWL DESIGN
579525,2.55,81.6,32,United Kingdom,2011-11-30,08:23:00,2011-11,Garden,Hoses,EGG CUP HENRIETTA HEN CREAM 
576329,8.29,8.29,1,United Kingdom,2011-11-14,15:22:00,2011-11,Garden,Hoses,CHARLOTTE BAG VINTAGE ALPHABET 
543530,5.79,34.74,6,United Kingdom,2011-02-09,12:46:00,2011-02,Garden,Seeds,HAND WARMER OWL DESIGN
